table_name,code,code_system,display,row_count,distinct_patient_count
immunization,133,http://hl7.org/fhir/sid/cvx,Pneumococcal conjugate PCV 13,12738,4926
immunization,207,http://hl7.org/fhir/sid/cvx,"COVID-19, mRNA, LNP-S, PF, 100 mcg/0.5mL dose or 50 mcg/0.25mL dose",8991,4503
immunization,10,http://hl7.org/fhir/sid/cvx,IPV,10987,3996
immunization,20,http://hl7.org/fhir/sid/cvx,DTaP,13460,3912
immunization,03,http://hl7.org/fhir/sid/cvx,MMR,5396,3693
immunization,21,http://hl7.org/fhir/sid/cvx,varicella,5372,3678
immunization,114,http://hl7.org/fhir/sid/cvx,meningococcal MCV4P,4935,3568
immunization,83,http://hl7.org/fhir/sid/cvx,"Hep A, ped/adol, 2 dose",5396,3043
immunization,49,http://hl7.org/fhir/sid/cvx,Hib (PRP-OMP),8112,2944
immunization,08,http://hl7.org/fhir/sid/cvx,"Hep B, adolescent or pediatric",8143,2899
immunization,119,http://hl7.org/fhir/sid/cvx,"rotavirus, monovalent",5382,2745
immunization,33,http://hl7.org/fhir/sid/cvx,"pneumococcal polysaccharide vaccine, 23 valent",2446,2420
immunization,62,http://hl7.org/fhir/sid/cvx,"HPV, quadrivalent",6027,2392
immunization,115,http://hl7.org/fhir/sid/cvx,Tdap,2182,2178
immunization,121,http://hl7.org/fhir/sid/cvx,"zoster vaccine, live",3384,1837
immunization,52,http://hl7.org/fhir/sid/cvx,"Hep A, adult",2934,1725
immunization,43,http://hl7.org/fhir/sid/cvx,"Hep B, adult",2266,1387
immunization,212,http://hl7.org/fhir/sid/cvx,"COVID-19 vaccine, vector-nr, rS-Ad26, PF, 0.5 mL",521,521
encounter,162673000,http://snomed.info/sct,General examination of patient (procedure),184503,14085
encounter,185347001,http://snomed.info/sct,Encounter for problem (procedure),428242,12903
encounter,50849002,http://snomed.info/sct,Emergency room admission (procedure),44661,12177
encounter,33879002,http://snomed.info/sct,Administration of vaccine to produce active immunity (procedure),18937,10227
encounter,410620009,http://snomed.info/sct,Well child visit (procedure),70540,9659
encounter,32485007,http://snomed.info/sct,Hospital admission (procedure),11226,7987
encounter,702927004,http://snomed.info/sct,Urgent care clinic (environment),85735,7859
encounter,390906007,http://snomed.info/sct,Follow-up encounter (procedure),34231,5427
encounter,305336008,http://snomed.info/sct,Admission to hospice (procedure),5007,3997
encounter,308646001,http://snomed.info/sct,Death Certification,3868,3868
encounter,308335008,http://snomed.info/sct,Patient encounter procedure (procedure),23108,3492
encounter,698314001,http://snomed.info/sct,Consultation for treatment (procedure),12749,3155
encounter,424441002,http://snomed.info/sct,Prenatal initial visit (regime/therapy),5223,2306
encounter,305408004,http://snomed.info/sct,Admission to surgical department (procedure),2106,2100
encounter,169762003,http://snomed.info/sct,Postnatal visit (regime/therapy),3096,1749
encounter,36228007,http://snomed.info/sct,Ophthalmic examination and evaluation (procedure),18710,1481
encounter,305432006,http://snomed.info/sct,Admission to surgical transplant department (procedure),1140,1085
encounter,439740005,http://snomed.info/sct,Postoperative follow-up visit (procedure),8125,1068
encounter,56876005,http://snomed.info/sct,Drug rehabilitation and detoxification (regime/therapy),2766,1023
encounter,183452005,http://snomed.info/sct,Emergency hospital admission (procedure),2085,1014
encounter,305342007,http://snomed.info/sct,Admission to ward (procedure),1074,975
encounter,305351004,http://snomed.info/sct,Admission to intensive care unit (procedure),1622,908
encounter,281036007,http://snomed.info/sct,Follow-up consultation (procedure),2323,876
encounter,394701000,http://snomed.info/sct,Asthma follow-up (regime/therapy),3699,806
encounter,439708006,http://snomed.info/sct,Home visit (procedure),11180,664
encounter,270427003,http://snomed.info/sct,Patient-initiated encounter (procedure),897,661
encounter,170837001,http://snomed.info/sct,Allergic disorder initial assessment (regime/therapy),589,589
encounter,371883000,http://snomed.info/sct,Outpatient procedure (procedure),18698,489
encounter,185317003,http://snomed.info/sct,Telephone encounter (procedure),1186,440
encounter,183478001,http://snomed.info/sct,Emergency hospital admission for asthma (procedure),654,436
encounter,185389009,http://snomed.info/sct,Follow-up visit (procedure),1197,424
encounter,183495009,http://snomed.info/sct,Non-urgent orthopedic admission (procedure),431,413
encounter,448337001,http://snomed.info/sct,Telemedicine consultation with patient (procedure),24470,353
encounter,4525004,http://snomed.info/sct,Emergency department patient visit (procedure),289,289
encounter,310061009,http://snomed.info/sct,Gynecology service (qualifier value),2229,269
encounter,170838006,http://snomed.info/sct,Allergic disorder follow-up assessment (regime/therapy),260,260
encounter,86013001,http://snomed.info/sct,Periodic reevaluation and management of healthy individual (procedure),257,257
encounter,1505002,http://snomed.info/sct,Hospital admission for isolation (procedure),252,252
encounter,223484005,http://snomed.info/sct,Discussion about treatment (procedure),159,159
encounter,79094001,http://snomed.info/sct,Initial psychiatric interview with mental status and evaluation (procedure),159,156
encounter,453131000124105,http://snomed.info/sct,Videotelephony encounter (procedure),138,131
encounter,308251003,http://snomed.info/sct,Admission to clinical oncology department (procedure),118,118
encounter,305411003,http://snomed.info/sct,Admission to thoracic surgery department (procedure),115,115
encounter,47505003,http://snomed.info/sct,Posttraumatic stress disorder (disorder),190,80
encounter,386395000,http://snomed.info/sct,Preoperative coordination (regime/therapy),67,67
diagnostic_report,34117-2,http://loinc.org,History and physical note,1396066,18999
diagnostic_report,58410-2,http://loinc.org,CBC panel - Blood by Automated count,73062,18999
diagnostic_report,69737-5,http://loinc.org,Generalized anxiety disorder 7 item (GAD-7),122697,15091
diagnostic_report,55757-9,http://loinc.org,Patient Health Questionnaire 2 item (PHQ-2) [Reported],187975,13925
diagnostic_report,76499-3,http://loinc.org,"Humiliation, Afraid, Rape, and Kick questionnaire [HARK]",71473,12995
diagnostic_report,57698-3,http://loinc.org,Lipid panel with direct LDL - Serum or Plasma,144508,12374
diagnostic_report,72109-2,http://loinc.org,Alcohol Use Disorder Identification Test - Consumption [AUDIT-C],71252,12021
diagnostic_report,82666-9,http://loinc.org,Drug Abuse Screening Test-10 [DAST-10],71256,11981
diagnostic_report,51990-0,http://loinc.org,Basic Metabolic Panel - Blood,177009,8528
diagnostic_report,59453-1,http://loinc.org,Morse Fall Scale panel,98960,6550
diagnostic_report,44249-1,http://loinc.org,PHQ-9 quick depression assessment panel [Reported.PHQ],11319,5944
diagnostic_report,24323-8,http://loinc.org,Comprehensive metabolic 2000 panel - Serum or Plasma,93930,5609
diagnostic_report,24357-6,http://loinc.org,Urinalysis macro (dipstick) panel - Urine,208193,4079
diagnostic_report,69409-1,http://loinc.org,U.S. standard certificate of death - 2003 revision,3868,3868
diagnostic_report,89206-7,http://loinc.org,Patient Health Questionnaire-9: Modified for Teens [Reported.PHQ.Teen],9047,2679
diagnostic_report,89577-1,http://loinc.org,Troponin I.cardiac panel - Serum or Plasma by High sensitivity method,13640,1797
diagnostic_report,55405-5,http://loinc.org,Heart failure tracking panel,4590,1556
diagnostic_report,94531-1,http://loinc.org,SARS-CoV-2 (COVID-19) RNA panel - Respiratory system specimen by NAA with probe detection,1769,1405
diagnostic_report,24356-8,http://loinc.org,Urinalysis complete panel - Urine,3970,1355
diagnostic_report,75689-0,http://loinc.org,Iron panel - Serum or Plasma,12870,1108
diagnostic_report,34528-0,http://loinc.org,PT panel - Platelet poor plasma by Coagulation assay,7629,1092
diagnostic_report,24336-0,http://loinc.org,Gas panel - Arterial blood,8424,983
diagnostic_report,93124-6,http://loinc.org,New York Heart Association Functional Classification panel,980,964
diagnostic_report,92143-7,http://loinc.org,Respiratory pathogens DNA and RNA panel - Respiratory system specimen by NAA with probe detection,863,863
diagnostic_report,50190-8,http://loinc.org,Iron and Iron binding capacity panel - Serum or Plasma,10875,861
diagnostic_report,24339-4,http://loinc.org,Gas panel - Venous blood,822,820
diagnostic_report,87674-8,http://loinc.org,Optical coherence tomography study,9447,560
diagnostic_report,80381-7,http://loinc.org,Influenza virus A and B Ag panel - Upper respiratory specimen by Rapid immunoassay,542,542
diagnostic_report,57023-4,http://loinc.org,Auto Differential panel - Blood,4124,415
diagnostic_report,600-7,http://loinc.org,Bacteria identified in Blood by Culture,184,184
